LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
1.432,101.658,336.5,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,293.4,182.9,Kota Dumai,RIAU
1.415,101.637,314.7,2.6,1.6,"2014, 3, 1",1513,T,86,5.1,291.3,67.1,Kota Dumai,RIAU
1.418,101.661,332.8,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,293.3,158.3,Kota Dumai,RIAU
1.452,101.65,362.9,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,293.1,420.7,Kota Dumai,RIAU
1.455,101.673,326,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,290.9,118.1,Kota Dumai,RIAU
1.434,101.629,319.4,2.6,1.6,"2014, 3, 1",1513,T,98,5.1,291,84.5,Kota Dumai,RIAU
1.438,101.652,339.1,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,293.8,200.7,Kota Dumai,RIAU
1.42,101.632,313.1,2.6,1.6,"2014, 3, 1",1513,T,81,5.1,291.3,58.1,Kota Dumai,RIAU
1.424,101.655,345.7,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,294.7,252.8,Kota Dumai,RIAU
1.442,101.633,320.5,2.6,1.6,"2014, 3, 1",1513,T,100,5.1,291.2,90.5,Kota Dumai,RIAU
0.573,102.953,305.9,2.1,1.4,"2014, 3, 1",1513,T,38,5.1,289.5,22.6,Pelalawan,RIAU
0.841,102.305,311.6,3.9,1.8,"2014, 3, 1",1809,A,31,5.1,277.6,108.2,Siak,RIAU
0.832,102.309,310,3.9,1.8,"2014, 3, 1",1809,A,48,5.1,275.3,100.3,Siak,RIAU
1.215,102.174,306.5,2.4,1.5,"2014, 3, 1",1513,T,46,5.1,291.1,27.2,Siak,RIAU
0.998,101.067,307.7,2.9,1.6,"2014, 3, 1",1513,T,56,5.1,288.6,53.2,Siak,RIAU
1.066,101.708,321.1,2.6,1.6,"2014, 3, 1",1513,T,100,5.1,290.8,96.3,Siak,RIAU
1.052,101.71,314.4,2.6,1.6,"2014, 3, 1",1513,T,85,5.1,290.8,63.5,Siak,RIAU
0.993,101.046,307.6,3,1.6,"2014, 3, 1",1513,T,55,5.1,288.5,48.9,Siak,RIAU
1.057,101.69,319.1,2.6,1.6,"2014, 3, 1",1513,T,97,5.1,290,87.8,Siak,RIAU
1.06,101.714,323.9,2.6,1.6,"2014, 3, 1",1513,T,100,5.1,291.1,108.2,Siak,RIAU
1.026,101.671,306.3,2.6,1.6,"2014, 3, 1",1513,T,40,5.1,289.9,39.9,Siak,RIAU
0.979,101.685,308.4,2.6,1.6,"2014, 3, 1",1513,T,60,5.1,290.5,46.5,Siak,RIAU
0.917,102.177,311.6,2.4,1.5,"2014, 3, 1",1513,T,76,5.1,290,44.6,Siak,RIAU
0.904,102.179,313.4,2.4,1.5,"2014, 3, 1",1513,T,82,5.1,290.1,52.7,Siak,RIAU
0.916,102.264,309,2.4,1.5,"2014, 3, 1",1513,T,35,5.1,290.5,30.4,Siak,RIAU
0.844,101.966,315.2,2.5,1.5,"2014, 3, 1",1513,T,87,5.1,288.4,68.7,Siak,RIAU
0.848,101.988,305.3,2.5,1.5,"2014, 3, 1",1513,T,16,5.1,287.9,31.2,Siak,RIAU
0.896,102.309,325.4,2.3,1.5,"2014, 3, 1",1513,T,100,5.1,289.4,90.7,Siak,RIAU
0.851,101.971,319.6,2.5,1.5,"2014, 3, 1",1513,T,99,5.1,288.7,83.6,Siak,RIAU
0.9,102.315,313.4,2.3,1.5,"2014, 3, 1",1513,T,77,5.1,289.1,45.4,Siak,RIAU
0.887,102.317,313.3,2.3,1.5,"2014, 3, 1",1513,T,70,5.1,287.7,45.4,Siak,RIAU
0.854,102.28,319.4,2.4,1.5,"2014, 3, 1",1513,T,98,5.1,289,72.5,Siak,RIAU
0.857,102.3,307.8,2.4,1.5,"2014, 3, 1",1513,T,5,5.1,288.5,27.4,Siak,RIAU
0.841,102.282,336.4,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,288.7,155.9,Siak,RIAU
0.844,102.302,319.2,2.4,1.5,"2014, 3, 1",1513,T,98,5.1,288.8,67.8,Siak,RIAU
0.828,102.284,335.5,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,288.5,149.1,Siak,RIAU
0.831,102.305,327.4,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,289.4,103.9,Siak,RIAU
0.818,102.307,337.4,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,288.7,161.5,Siak,RIAU
0.821,102.327,343.1,2.3,1.5,"2014, 3, 1",1513,T,100,5.1,289.3,195.5,Siak,RIAU
0.827,102.369,318,2.3,1.5,"2014, 3, 1",1513,T,95,5.1,288.6,61.7,Siak,RIAU
0.804,102.308,306.3,2.4,1.5,"2014, 3, 1",1513,T,37,5.1,288.1,27.1,Siak,RIAU
0.808,102.329,321.9,2.3,1.5,"2014, 3, 1",1513,T,100,5.1,288.7,82.4,Siak,RIAU
0.808,102.313,332,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,288.6,132.2,Siak,RIAU
0.811,102.334,337.4,2.3,1.5,"2014, 3, 1",1513,T,100,5.1,289,160.2,Siak,RIAU
0.775,102.361,306.4,2.3,1.5,"2014, 3, 1",1513,T,44,5.1,288.2,27.5,Siak,RIAU
0.761,102.363,311.4,2.3,1.5,"2014, 3, 1",1513,T,75,5.1,288.6,43,Siak,RIAU
0.764,102.383,313.6,2.3,1.5,"2014, 3, 1",1513,T,83,5.1,289.2,50.3,Siak,RIAU
0.731,102.43,325.1,2.3,1.5,"2014, 3, 1",1513,T,100,5.1,289.3,94.8,Siak,RIAU
0.734,102.451,321.3,2.3,1.5,"2014, 3, 1",1513,T,100,5.1,290,75.6,Siak,RIAU
0.66,102.05,306.3,2.5,1.5,"2014, 3, 1",1513,T,31,5.1,282.6,33.4,Siak,RIAU
0.664,102.072,315.6,2.5,1.5,"2014, 3, 1",1513,T,88,5.1,285.8,65.5,Siak,RIAU
0.734,102.436,332.8,2.3,1.5,"2014, 3, 1",1513,T,100,5.1,289.6,133.3,Siak,RIAU
0.737,102.457,305.8,2.3,1.5,"2014, 3, 1",1513,T,12,5.1,289.8,22,Siak,RIAU
0.667,102.056,314.9,2.5,1.5,"2014, 3, 1",1513,T,87,5.1,284.6,63.8,Siak,RIAU
0.67,102.078,310.3,2.5,1.5,"2014, 3, 1",1513,T,60,5.1,287,44.9,Siak,RIAU
0.711,102.461,313.8,2.3,1.5,"2014, 3, 1",1513,T,83,5.1,289.8,48.3,Siak,RIAU
0.691,102.505,343.2,2.3,1.5,"2014, 3, 1",1513,T,100,5.1,289.5,194.5,Siak,RIAU
0.694,102.526,307.1,2.3,1.5,"2014, 3, 1",1513,T,45,5.1,288.8,29.9,Siak,RIAU
1.158,101.645,315.7,3,1.6,"2014, 3, 10",720,A,64,5.1,296.6,48.9,Bengkalis,RIAU
0.876,102.505,328.6,3.5,1.8,"2014, 3, 10",720,A,51,5.1,297.6,145.4,Bengkalis,RIAU
1.488,101.906,328.1,3.3,1.7,"2014, 3, 10",1507,T,100,5.1,279.7,218.7,Bengkalis,RIAU
1.492,101.912,316.7,3.3,1.7,"2014, 3, 10",1507,T,92,5.1,279.1,140.5,Bengkalis,RIAU
1.476,101.914,317.5,3.3,1.7,"2014, 3, 10",1507,T,94,5.1,279.2,146,Bengkalis,RIAU
1.374,102.255,317.3,3.1,1.7,"2014, 3, 10",1507,T,93,5.1,278.8,111.6,Bengkalis,RIAU
1.359,102.258,322.5,3.1,1.7,"2014, 3, 10",1507,T,96,5.1,280.7,140.1,Bengkalis,RIAU
1.364,102.285,311.4,3.1,1.7,"2014, 3, 10",1507,T,21,5.1,281.2,74.5,Bengkalis,RIAU
1.344,102.26,313.9,3.1,1.7,"2014, 3, 10",1507,T,29,5.1,280.5,96.9,Bengkalis,RIAU
1.376,102.262,314.3,3.1,1.7,"2014, 3, 10",1507,T,45,5.1,278.9,86.1,Bengkalis,RIAU
1.361,102.264,325.7,3.1,1.7,"2014, 3, 10",1507,T,100,5.1,281.2,170.1,Bengkalis,RIAU
1.365,102.292,307.4,3.1,1.7,"2014, 3, 10",1507,T,10,5.1,281.4,62.9,Bengkalis,RIAU
1.346,102.266,321.4,3.1,1.7,"2014, 3, 10",1507,T,89,5.1,280.9,151.3,Bengkalis,RIAU
0.879,102.504,305.6,3,1.7,"2014, 3, 10",1507,T,34,5.1,279.4,52.1,Bengkalis,RIAU
0.883,102.531,309.9,3,1.7,"2014, 3, 10",1507,T,68,5.1,277.9,72.1,Bengkalis,RIAU
0.88,102.511,311.6,3,1.7,"2014, 3, 10",1507,T,64,5.1,278.5,75.1,Bengkalis,RIAU
1.304,102.036,323.7,4.5,2,"2014, 3, 10",423,T,75,5.1,292.2,172.8,Bengkalis,RIAU
1.354,102.293,323.1,4.7,2,"2014, 3, 10",423,T,69,5.1,292.2,178.6,Bengkalis,RIAU
1.353,102.3,322,4.7,2,"2014, 3, 10",423,T,52,5.1,292.1,164.6,Bengkalis,RIAU
1.484,101.91,311.9,4.4,1.9,"2014, 3, 10",423,T,42,5.1,292.2,76.6,Bengkalis,RIAU
1.487,101.915,313.5,4.4,1.9,"2014, 3, 10",423,T,58,5.1,292.3,89.3,Bengkalis,RIAU
1.482,101.662,340.9,3.5,1.8,"2014, 3, 10",1507,T,100,5.1,286.6,333.9,Kota Dumai,RIAU
1.466,101.664,319,3.5,1.8,"2014, 3, 10",1507,T,72,5.1,283.6,132.8,Kota Dumai,RIAU
1.472,101.67,317.1,3.5,1.8,"2014, 3, 10",1507,T,45,5.1,283.8,117.5,Kota Dumai,RIAU
1.456,101.672,310.9,3.5,1.8,"2014, 3, 10",1507,T,9,5.1,282.5,81.6,Kota Dumai,RIAU
0.443,103.053,324.6,2.8,1.6,"2014, 3, 10",1507,T,100,5.1,281.1,133,Pelalawan,RIAU
0.957,102.205,307.2,3.2,1.7,"2014, 3, 10",1507,T,45,5.1,276.6,62.7,Siak,RIAU
0.831,102.286,312.4,3.2,1.7,"2014, 3, 10",1507,T,78,5.1,284.9,80.7,Siak,RIAU
0.829,102.264,307.3,3.2,1.7,"2014, 3, 10",1507,T,37,5.1,285,54.3,Siak,RIAU
0.833,102.293,308.3,3.2,1.7,"2014, 3, 10",1507,T,36,5.1,284.6,57.1,Siak,RIAU
0.818,102.295,306.2,3.2,1.7,"2014, 3, 10",1507,T,9,5.1,283.2,48.8,Siak,RIAU
0.759,102.099,308.9,3.3,1.7,"2014, 3, 10",1507,T,63,5.1,286.1,73.7,Siak,RIAU
0.768,102.365,306.7,3.1,1.7,"2014, 3, 10",1507,T,48,5.1,280.9,56.8,Siak,RIAU
0.717,102.54,328.1,3,1.7,"2014, 3, 10",1507,T,100,5.1,273.5,181.3,Siak,RIAU
1.147,100.942,324.6,1.1,1,"2014, 3, 11",1846,A,100,5.1,294.1,33.3,Bengkalis,RIAU
1.148,100.932,305.1,1.1,1,"2014, 3, 11",1846,A,16,5.1,292.9,9.8,Bengkalis,RIAU
1.003,101.986,310.4,1,1,"2014, 3, 11",1846,A,53,5.1,294.2,11.4,Bengkalis,RIAU
1.004,101.977,314.1,1,1,"2014, 3, 11",1846,A,84,5.1,294.4,14.7,Bengkalis,RIAU
