LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
0.553,101.408,323,1.3,1.1,"PyQt4.QtCore.QDate(2014, 2, 5)",637,A,72,5.1,296.8,20.3,Kota Pekan Baru,RIAU
0.567,101.336,314.5,1.6,1.3,"PyQt4.QtCore.QDate(2014, 7, 24)",631,A,59,5.1,293,19.4,Kota Pekan Baru,RIAU
0.552,101.35,314.1,2.9,1.6,"PyQt4.QtCore.QDate(2014, 7, 26)",619,A,47,5.1,291.9,28.5,Kota Pekan Baru,RIAU
0.536,101.377,316.5,1,1,"PyQt4.QtCore.QDate(2014, 7, 26)",1544,T,91,5.1,271.6,21.9,Kota Pekan Baru,RIAU
