LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
-0.415,102.706,311,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,61,5.1,288.6,12.3,Indragiri Hilir,RIAU
-0.406,102.707,308,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,55,5.1,288.4,9.9,Indragiri Hilir,RIAU
-0.397,102.709,308.1,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,43,5.1,288,10,Indragiri Hilir,RIAU
-0.183,102.79,314.7,1.7,1.3,"PyQt4.QtCore.QDate(2014, 3, 27)",625,A,57,5.1,296.7,21.9,Indragiri Hilir,RIAU
-0.195,103.025,315.7,1.6,1.3,"PyQt4.QtCore.QDate(2014, 3, 27)",625,A,57,5.1,296.3,21.2,Indragiri Hilir,RIAU
-0.406,102.709,309.3,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,52,5.1,294.1,12.2,Indragiri Hilir,RIAU
-0.418,102.7,321.9,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,100,5.1,294.7,29.7,Indragiri Hilir,RIAU
-0.512,102.753,305.7,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,20,5.1,292.9,9,Indragiri Hilir,RIAU
-0.522,102.754,307.7,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,56,5.1,293.3,11.6,Indragiri Hilir,RIAU
-0.542,102.697,339.6,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,100,5.1,294.7,64.1,Indragiri Hilir,RIAU
-0.54,102.708,317.7,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,94,5.1,293.7,23.2,Indragiri Hilir,RIAU
-0.552,102.699,306.7,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,18,5.1,293.1,9.3,Indragiri Hilir,RIAU
0.12,103.233,319,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",328,T,49,5.1,296.8,13.4,Indragiri Hilir,RIAU
-0.549,102.689,305.4,1.4,1.2,"PyQt4.QtCore.QDate(2014, 3, 9)",1859,A,29,5.1,291.7,13.6,Indragiri Hilir,RIAU
-0.057,103.021,323.2,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 9)",637,A,76,5.1,302,18.1,Indragiri Hilir,RIAU
