LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
1.419,101.656,309.7,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1532,T,7,5.1,291.4,16.7,Kota Dumai,RIAU
1.421,101.66,310.1,3.4,1.7,"PyQt4.QtCore.QDate(2014, 3, 6)",309,T,19,5.1,284.7,56.6,Kota Dumai,RIAU
1.38,101.4,307.8,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,57,5.1,293.4,11,Kota Dumai,RIAU
1.396,101.596,305.3,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,13,5.1,291.8,7,Kota Dumai,RIAU
1.4,101.634,324.5,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,100,5.1,295.7,26.5,Kota Dumai,RIAU
1.401,101.625,328.3,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,100,5.1,296.9,31.6,Kota Dumai,RIAU
1.404,101.606,315.4,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,39,5.1,293.9,14.9,Kota Dumai,RIAU
1.405,101.597,316.9,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,61,5.1,293.5,17.3,Kota Dumai,RIAU
1.413,101.608,323,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,72,5.1,293.6,22.2,Kota Dumai,RIAU
1.414,101.599,320.5,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,59,5.1,293.2,20.3,Kota Dumai,RIAU
1.423,101.6,323.6,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,100,5.1,293.8,24.7,Kota Dumai,RIAU
1.431,101.61,309.5,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,7,5.1,291.1,8.1,Kota Dumai,RIAU
1.432,101.601,331.1,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,100,5.1,294.8,35.8,Kota Dumai,RIAU
1.441,101.602,337.2,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,100,5.1,294.9,44.3,Kota Dumai,RIAU
1.443,101.593,327.9,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,55,5.1,293.6,29.1,Kota Dumai,RIAU
1.451,101.604,338.7,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,100,5.1,297.2,46.5,Kota Dumai,RIAU
1.452,101.595,341.9,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,100,5.1,297.4,52.2,Kota Dumai,RIAU
