LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
0.668,101.252,315.5,1.5,1.2,"PyQt4.QtCore.QDate(2014, 7, 1)",328,T,57,5.1,296.3,20,Kampar,RIAU
0.503,101.234,328.7,1.1,1,"PyQt4.QtCore.QDate(2014, 6, 20)",643,A,81,5.1,302.9,23.1,Kampar,RIAU
0.144,101.516,316,1,1,"PyQt4.QtCore.QDate(2014, 6, 20)",347,T,55,5.1,302,11,Kampar,RIAU
0.666,101.245,311.9,1.1,1,"PyQt4.QtCore.QDate(2014, 6, 2)",656,A,35,5.1,289.2,10,Kampar,RIAU
0.447,101.273,315.4,2.9,1.6,"PyQt4.QtCore.QDate(2014, 7, 26)",619,A,52,5.1,293,36.9,Kampar,RIAU
0.147,101.522,312.5,1.9,1.3,"PyQt4.QtCore.QDate(2014, 7, 26)",322,T,54,5.1,297.1,23.6,Kampar,RIAU
0.664,101.229,317.5,1.3,1.1,"PyQt4.QtCore.QDate(2014, 8, 16)",637,A,51,5.1,300.3,17.2,Kampar,RIAU
0.666,101.241,317.9,1.3,1.1,"PyQt4.QtCore.QDate(2014, 8, 16)",637,A,48,5.1,300.9,17.4,Kampar,RIAU
0.667,101.252,318.8,1.3,1.1,"PyQt4.QtCore.QDate(2014, 8, 16)",637,A,36,5.1,301.2,17.3,Kampar,RIAU
0.143,101.514,321,1.3,1.1,"PyQt4.QtCore.QDate(2014, 8, 16)",637,A,56,5.1,302.8,24,Kampar,RIAU
0.145,101.518,321.5,1,1,"PyQt4.QtCore.QDate(2014, 8, 16)",341,T,73,5.1,300.9,17.3,Kampar,RIAU
0.159,101.454,311.6,1.1,1,"PyQt4.QtCore.QDate(2014, 7, 20)",655,A,42,5.1,284.3,15.2,Kampar,RIAU
0.143,101.523,315.5,1.4,1.2,"PyQt4.QtCore.QDate(2014, 7, 20)",359,T,63,5.1,303.6,17.1,Kampar,RIAU
0.666,101.247,317.3,1.3,1.1,"PyQt4.QtCore.QDate(2014, 7, 20)",358,T,57,5.1,303.2,19.8,Kampar,RIAU
0.145,101.521,312.9,1.5,1.2,"PyQt4.QtCore.QDate(2014, 8, 2)",328,T,56,5.1,296.6,13.9,Kampar,RIAU
0.666,101.259,314.8,1.5,1.2,"PyQt4.QtCore.QDate(2014, 8, 2)",328,T,30,5.1,296.4,16.1,Kampar,RIAU
0.668,101.245,315.4,1.5,1.2,"PyQt4.QtCore.QDate(2014, 8, 2)",328,T,47,5.1,297.5,19.2,Kampar,RIAU
0.663,101.242,319.8,1.3,1.1,"PyQt4.QtCore.QDate(2014, 7, 15)",637,A,51,5.1,303.4,19.6,Kampar,RIAU
0.144,101.516,317.8,1,1,"PyQt4.QtCore.QDate(2014, 7, 15)",340,T,66,5.1,303.4,12.4,Kampar,RIAU
0.663,101.24,312.2,2.2,1.4,"PyQt4.QtCore.QDate(2014, 8, 18)",625,A,53,5.1,294.6,26.9,Kampar,RIAU
